Date,MARUTI.NS,HEROMOTOCO.NS,EICHERMOT.NS,BAJAJ-AUTO.NS
2017-10-13,7311.72265625,2824.3388671875,2936.559326171875,2535.28076171875
2017-10-16,7281.8701171875,2833.94384765625,2968.422607421875,2586.57470703125
2017-10-17,7278.99072265625,2843.24853515625,2979.977294921875,2614.76806640625
2017-10-18,7228.05810546875,2816.197265625,2947.978515625,2588.178955078125
2017-10-19,7178.89013671875,2803.140625,2944.962158203125,2581.08056640625
2017-10-23,7260.0478515625,2844.8994140625,2915.193603515625,2580.839599609375
2017-10-24,7312.51220703125,2817.998046875,2944.419921875,2574.743408203125
2017-10-25,7308.05517578125,2828.69140625,2966.2197265625,2592.55029296875
2017-10-26,7491.77294921875,2814.584228515625,2956.974853515625,2633.576904296875
2017-10-27,7534.85888671875,2841.447509765625,2975.13720703125,2647.01220703125
2017-10-30,7609.8876953125,2876.22802734375,3027.44482421875,2632.6142578125
2017-10-31,7624.7451171875,2888.90966796875,3014.5712890625,2612.482177734375
2017-11-01,7649.9560546875,2865.985595703125,2892.654296875,2598.56591796875
2017-11-02,7638.25537109375,2803.327880859375,2912.3505859375,2599.64892578125
2017-11-03,7632.31298828125,2768.2099609375,2921.207275390625,2580.67919921875
2017-11-06,7716.626953125,2768.06005859375,2907.482666015625,2574.58349609375
2017-11-07,7633.14794921875,2762.544921875,2914.169921875,2535.922607421875
2017-11-08,7644.01220703125,2718.30908203125,2917.48486328125,2557.899658203125
2017-11-09,7618.7548828125,2699.699951171875,2885.500244140625,2566.682861328125
2017-11-10,7598.97705078125,2705.215576171875,2857.288818359375,2609.474365234375
2017-11-13,7529.984375,2686.304931640625,2860.3232421875,2585.131103515625
2017-11-14,7542.751953125,2742.8095703125,2814.07177734375,2620.061767578125
2017-11-15,7546.744140625,2755.265869140625,2850.9013671875,2577.06982421875
2017-11-16,7580.591796875,2744.16015625,2843.021728515625,2573.781494140625
2017-11-17,7752.0517578125,2724.7626953125,2871.860107421875,2572.17724609375
2017-11-20,7823.8310546875,2745.361083984375,2865.523681640625,2600.370361328125
2017-11-21,7823.041015625,2760.480712890625,2845.028076171875,2647.092041015625
2017-11-22,7905.08154296875,2747.386962890625,2822.3623046875,2657.47900390625
2017-11-23,7858.884765625,2759.430908203125,2863.6767578125,2618.537841796875
2017-11-24,7881.681640625,2741.3466796875,2881.670654296875,2637.50732421875
2017-11-27,7900.85595703125,2748.662841796875,2876.3720703125,2623.95166015625
2017-11-28,8008.15234375,2756.616943359375,2855.876708984375,2638.18896484375
2017-11-29,8051.9814453125,2743.63525390625,2826.295166015625,2659.64453125
2017-11-30,7984.8916015625,2726.638671875,2800.4638671875,2651.30322265625
2017-12-01,7994.08447265625,2704.427978515625,2738.44873046875,2580.238037109375
2017-12-04,7893.61376953125,2702.438720703125,2749.92919921875,2565.639892578125
2017-12-05,7893.2421875,2641.770263671875,2705.514892578125,2537.7275390625
2017-12-06,7997.2421875,2630.5517578125,2633.407958984375,2494.134033203125
2017-12-07,8247.9560546875,2664.694580078125,2694.451171875,2563.514404296875
2017-12-08,8396.3876953125,2641.01953125,2712.1689453125,2576.8291015625
2017-12-11,8481.400390625,2637.492919921875,2735.357666015625,2575.385498046875
2017-12-12,8479.123046875,2582.60205078125,2674.63818359375,2539.171142578125
2017-12-13,8469.189453125,2565.906005859375,2686.103759765625,2527.620849609375
2017-12-14,8461.853515625,2596.746826171875,2687.736083984375,2536.844970703125
2017-12-15,8511.2080078125,2628.600830078125,2756.943359375,2565.72021484375
2017-12-18,8644.1787109375,2652.87548828125,2797.223876953125,2588.138916015625
2017-12-19,9101.408203125,2777.177490234375,2882.69921875,2662.77294921875
2017-12-20,9038.6357421875,2813.34619140625,2822.02587890625,2647.85400390625
2017-12-21,8943.1328125,2855.929931640625,2828.93701171875,2638.429443359375
2017-12-22,9007.1572265625,2846.0625,2829.147705078125,2670.112060546875
2017-12-26,8987.6572265625,2861.82080078125,2829.18505859375,2702.23583984375
2017-12-27,8955.25,2841.447509765625,2823.527099609375,2678.213134765625
2017-12-28,8941.4140625,2788.920654296875,2790.026611328125,2643.001220703125
2017-12-29,9034.59765625,2840.322265625,2837.57421875,2673.841796875
2018-01-01,8962.4921875,2813.270751953125,2795.70361328125,2638.26953125
2018-01-02,8871.6337890625,2809.331298828125,2681.32470703125,2642.6806640625
2018-01-03,8743.9990234375,2817.847900390625,2694.81103515625,2599.6083984375
2018-01-04,8715.818359375,2805.616943359375,2672.02880859375,2618.377685546875
2018-01-05,8760.017578125,2809.931396484375,2734.33837890625,2630.7294921875
2018-01-08,8774.0390625,2841.522705078125,2730.635009765625,2627.44091796875
2018-01-09,8713.310546875,2813.533447265625,2674.47900390625,2601.573486328125
2018-01-10,8706.16015625,2804.1162109375,2627.76904296875,2572.6181640625
2018-01-11,8672.6845703125,2780.666259765625,2660.239990234375,2561.38916015625
2018-01-12,8783.5126953125,2766.934814453125,2679.416748046875,2546.91162109375
2018-01-15,8690.0029296875,2722.9990234375,2616.92041015625,2539.41162109375
2018-01-16,8656.203125,2690.958251953125,2608.47509765625,2534.63916015625
2018-01-17,8648.6357421875,2676.51318359375,2639.491943359375,2561.99072265625
2018-01-18,8699.5205078125,2696.39794921875,2614.38525390625,2567.645263671875
2018-01-19,8657.9677734375,2693.697021484375,2619.533935546875,2575.024658203125
2018-01-22,8645.1064453125,2703.60205078125,2585.898193359375,2626.4384765625
2018-01-23,8722.4580078125,2723.900146484375,2531.790771484375,2643.643310546875
2018-01-24,8761.0400390625,2735.53076171875,2469.3916015625,2680.218505859375
2018-01-25,8615.4853515625,2679.776611328125,2480.1796875,2656.27587890625
2018-01-29,8942.806640625,2732.716552734375,2567.55419921875,2698.14501953125
2018-01-30,8887.880859375,2767.31005859375,2496.07861328125,2693.653564453125
2018-01-31,8830.451171875,2770.01123046875,2517.98193359375,2676.689208984375
2018-02-01,8730.3046875,2801.15185546875,2623.078857421875,2737.48779296875
2018-02-02,8348.427734375,2718.98486328125,2601.04443359375,2599.808837890625
2018-02-05,8431.9990234375,2728.702392578125,2575.43798828125,2555.093017578125
2018-02-06,8342.8544921875,2657.75341796875,2579.30078125,2514.627197265625
2018-02-07,8284.5419921875,2676.175048828125,2619.62744140625,2514.988525390625
2018-02-08,8385.6640625,2688.03125,2637.16796875,2532.955078125
2018-02-09,8297.8203125,2660.9423828125,2595.07763671875,2485.872314453125
2018-02-12,8466.587890625,2710.318115234375,2609.428955078125,2529.866943359375
2018-02-14,8358.6416015625,2698.42431640625,2621.23193359375,2494.294189453125
2018-02-15,8375.958984375,2687.908203125,2650.490234375,2521.36474609375
2018-02-16,8205.7529296875,2662.722412109375,2555.81640625,2489.60205078125
2018-02-19,8101.65966796875,2641.003662109375,2533.4970703125,2430.80908203125
2018-02-20,8099.6171875,2649.95849609375,2517.30859375,2446.249267578125
2018-02-21,8155.42529296875,2660.093505859375,2559.3330078125,2416.37158203125
2018-02-22,8017.345703125,2652.81640625,2512.828857421875,2385.65185546875
2018-02-23,8077.46875,2663.103515625,2499.35205078125,2395.356689453125
2018-02-26,8362.123046875,2695.98583984375,2542.517822265625,2413.243408203125
2018-02-27,8256.1279296875,2732.296875,2539.59033203125,2434.09765625
2018-02-28,8218.7529296875,2740.83203125,2566.067138671875,2422.7880859375
2018-03-01,8239.646484375,2725.7431640625,2594.55419921875,2423.02880859375
2018-03-05,8166.8916015625,2710.159423828125,2576.410400390625,2360.9873046875
2018-03-06,8001.048828125,2714.3125,2570.80859375,2325.4140625
2018-03-07,8059.177734375,2708.59716796875,2574.521728515625,2329.184326171875
2018-03-08,8105.8369140625,2733.21142578125,2591.70166015625,2345.226318359375
2018-03-09,8041.998046875,2732.944580078125,2615.26953125,2354.4501953125
2018-03-12,8181.0068359375,2815.359375,2648.287353515625,2372.376708984375
2018-03-13,8130.63134765625,2820.465087890625,2698.083984375,2383.605712890625
2018-03-14,8214.4345703125,2773.332763671875,2697.831787109375,2366.601806640625
2018-03-15,8206.3095703125,2774.43798828125,2683.7001953125,2365.158203125
2018-03-16,8056.80908203125,2702.2724609375,2626.052978515625,2334.43798828125
2018-03-19,8146.83447265625,2678.801513671875,2562.8212890625,2285.5107421875
2018-03-20,8173.67138671875,2677.658935546875,2652.360595703125,2304.39990234375
2018-03-21,8240.759765625,2639.404052734375,2616.859619140625,2287.3955078125
2018-03-22,8075.38037109375,2630.79296875,2621.502685546875,2273.88037109375
2018-03-23,7992.4599609375,2601.416259765625,2608.93359375,2237.786376953125
2018-03-26,8139.22021484375,2653.197021484375,2606.777099609375,2284.869384765625
2018-03-27,8220.005859375,2640.24267578125,2658.313232421875,2244.48388671875
2018-03-28,8228.1767578125,2699.7578125,2653.501708984375,2201.4921875
2018-04-02,8364.771484375,2778.400390625,2645.655029296875,2253.0263671875
2018-04-03,8381.716796875,2777.600341796875,2617.71533203125,2239.4306640625
2018-04-04,8369.6923828125,2794.517333984375,2706.0244140625,2218.57666015625
2018-04-05,8480.2861328125,2882.15185546875,2775.558837890625,2252.384521484375
2018-04-06,8548.62890625,2880.0947265625,2786.912841796875,2234.93896484375
2018-04-09,8628.9033203125,2894.763916015625,2787.52978515625,2223.75
2018-04-10,8611.076171875,2833.496337890625,2803.0830078125,2218.937255859375
2018-04-11,8638.048828125,2849.53662109375,2869.769775390625,2210.1943359375
2018-04-12,8547.0048828125,2857.2333984375,2869.4375,2216.33056640625
2018-04-13,8472.2529296875,2839.287109375,2932.2333984375,2234.778564453125
2018-04-16,8572.5849609375,2898.1552734375,2927.20654296875,2276.5673828125
2018-04-17,8506.052734375,2872.131591796875,2901.80126953125,2297.341796875
2018-04-18,8469.978515625,2848.35546875,2887.426513671875,2295.6171875
2018-04-19,8429.2607421875,2837.534912109375,2891.752197265625,2292.32861328125
2018-04-20,8380.3720703125,2852.090087890625,2913.126953125,2288.117431640625
2018-04-23,8417.373046875,2833.419921875,2905.31787109375,2287.676513671875
