date,pair,fold,pnl,equity,event
2020-10-15,HDFCBANK__KOTAKBANK,2,278.6833887053189,190788.78009864275,hold
2020-10-16,HDFCBANK__KOTAKBANK,2,-292.6196989311323,190496.1603997116,hold
2020-10-19,HDFCBANK__KOTAKBANK,2,663.1663635822453,191159.32676329385,hold
2020-10-20,HDFCBANK__KOTAKBANK,2,-712.124377588565,190447.20238570528,hold
2020-10-21,HDFCBANK__KOTAKBANK,2,-143.29932515517422,190303.9030605501,hold
2020-10-22,HDFCBANK__KOTAKBANK,2,349.54466595542596,190653.44772650552,hold
2020-10-23,HDFCBANK__KOTAKBANK,2,-269.9844694590111,190383.4632570465,hold
2020-10-26,HDFCBANK__KOTAKBANK,2,1325.7019785490688,191709.16523559557,hold
2020-10-27,HDFCBANK__KOTAKBANK,2,2726.205517357395,194435.37075295296,hold
2020-10-28,HDFCBANK__KOTAKBANK,2,-81.30784698737158,194354.0629059656,hold
2020-10-29,HDFCBANK__KOTAKBANK,2,979.2373432617187,195333.30024922732,hold
2020-10-30,HDFCBANK__KOTAKBANK,2,-367.16086117428296,194966.13938805304,hold
2020-11-02,HDFCBANK__KOTAKBANK,2,-212.94302153119648,194753.19636652185,hold
2020-11-03,HDFCBANK__KOTAKBANK,2,-638.3183793276434,194114.8779871942,hold
2020-11-04,HDFCBANK__KOTAKBANK,2,-1174.437132505634,192940.44085468855,stop_out
2020-11-05,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-06,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-09,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-10,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-11,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-12,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-13,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-14,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-17,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-18,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-19,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-20,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-23,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-24,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-25,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-26,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-11-27,HDFCBANK__KOTAKBANK,2,0.0,192940.44085468855,flat
2020-12-01,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-02,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-03,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-04,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-07,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-08,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-09,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-10,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-11,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-14,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-15,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-16,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-17,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-18,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-21,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-22,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-23,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-24,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-28,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-29,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-30,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2020-12-31,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2021-01-01,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2021-01-04,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2021-01-05,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2021-01-06,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2021-01-07,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2021-01-08,HDFCBANK__KOTAKBANK,3,0.0,192940.44085468855,flat
2021-01-11,HDFCBANK__KOTAKBANK,3,-1024.9018064410411,191915.5390482475,entry
2021-01-12,HDFCBANK__KOTAKBANK,3,-2269.201804714255,189646.33724353326,hold
2021-01-13,HDFCBANK__KOTAKBANK,3,-158.40777631367723,189487.92946721957,hold
2021-01-14,HDFCBANK__KOTAKBANK,3,362.9298252086901,189850.85929242827,hold
2021-01-15,HDFCBANK__KOTAKBANK,3,-724.1560769745291,189126.70321545374,hold
2021-01-18,HDFCBANK__KOTAKBANK,3,-1203.5084781945554,187923.19473725918,hold
2021-01-19,HDFCBANK__KOTAKBANK,3,198.28958292753913,188121.48432018672,hold
2021-01-20,HDFCBANK__KOTAKBANK,3,407.24869147313785,188528.73301165985,hold
2021-01-21,HDFCBANK__KOTAKBANK,3,15.931376926377819,188544.6643885862,hold
2021-01-22,HDFCBANK__KOTAKBANK,3,516.8460131100092,189061.51040169623,hold
2021-01-25,HDFCBANK__KOTAKBANK,3,-1791.7544310386345,187269.7559706576,hold
