Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,AXISBANK.NS,KOTAKBANK.NS,INDUSINDBK.NS,BANKBARODA.NS
2023-10-31,718.5914916992188,900.5881958007812,545.2734985351562,980.2550659179688,347.09893798828125,1425.4747314453125,184.5128631591797
2023-11-01,717.6181030273438,899.3091430664062,546.0930786132812,970.221435546875,344.1056823730469,1416.8702392578125,183.8545684814453
2023-11-02,718.713134765625,905.114013671875,551.588623046875,981.3533325195312,346.75970458984375,1445.1561279296875,187.9924774169922
2023-11-03,722.1199951171875,918.7406616210938,557.4217529296875,987.24365234375,345.8717041015625,1434.326416015625,191.66017150878906
2023-11-06,727.351806640625,930.2028198242188,553.7579956054688,1007.7603149414062,347.2585754394531,1454.1068115234375,183.94862365722656
2023-11-07,723.8233642578125,932.8099975585938,558.96435546875,1019.2416381835938,349.463623046875,1470.0794677734375,179.85772705078125
2023-11-08,725.9161376953125,920.6591796875,559.49462890625,1020.0403442382812,348.46588134765625,1472.6014404296875,181.0332794189453
2023-11-09,723.044677734375,922.2333374023438,557.6145629882812,1020.2400512695312,348.2064208984375,1490.7994384765625,181.5034942626953
2023-11-10,725.8917236328125,923.4632568359375,558.7233276367188,1027.528076171875,348.3062438964844,1482.3433837890625,183.24330139160156
2023-11-13,724.5776977539062,919.3801879882812,560.5069580078125,1023.684326171875,348.8550109863281,1493.0247802734375,184.9830780029297
2023-11-15,732.1700439453125,925.9229125976562,563.7369384765625,1039.6583251953125,353.10540771484375,1477.5465087890625,185.92352294921875
2023-11-16,734.0924072265625,920.9051513671875,563.688720703125,1024.6827392578125,353.77392578125,1482.195068359375,186.53482055664062
2023-11-17,732.5106811523438,906.9833374023438,542.8630981445312,992.7348022460938,352.1276550292969,1481.9971923828125,185.0771484375
2023-11-20,732.559326171875,906.58984375,543.5380249023438,987.093994140625,353.31494140625,1488.2774658203125,185.8765106201172
2023-11-21,738.7645874023438,911.164794921875,541.3687133789062,990.1889038085938,352.6464538574219,1485.5577392578125,184.0896759033203
2023-11-22,736.1365356445312,907.8688354492188,538.9100952148438,996.4786376953125,348.34613037109375,1454.2552490234375,183.05520629882812
2023-11-23,740.39501953125,908.1148071289062,539.874267578125,997.4271240234375,347.0789794921875,1469.78271484375,182.77308654785156
2023-11-24,745.6512451171875,914.41162109375,540.2598876953125,1006.86181640625,348.0168762207031,1459.991455078125,181.59754943847656
2023-11-28,743.97216796875,910.5745239257812,544.212890625,1019.4912719726562,347.6676940917969,1461.32666015625,184.84202575683594
2023-11-29,758.8161010742188,924.4470825195312,548.214111328125,1058.427978515625,349.9026184082031,1467.2608642578125,185.6414031982422
2023-11-30,758.645751953125,919.8721313476562,544.502197265625,1072.5050048828125,350.3017272949219,1450.0023193359375,185.35928344726562
2023-12-01,756.9910278320312,931.4326171875,551.2511596679688,1102.855712890625,349.3139953613281,1445.0079345703125,189.8263397216797
2023-12-04,783.2720336914062,975.2149658203125,573.37841796875,1123.771484375,362.8934020996094,1498.019287109375,196.59744262695312
2023-12-05,790.2315673828125,997.1061401367188,586.4425659179688,1130.6103515625,364.86895751953125,1490.0576171875,198.29022216796875
2023-12-06,792.2271118164062,987.0706176757812,586.6353759765625,1118.6798095703125,363.4621276855469,1485.112548828125,197.06765747070312
2023-12-07,793.5167236328125,982.88916015625,589.7689208984375,1116.0341796875,364.5496520996094,1488.22802734375,198.5723419189453
2023-12-08,804.5888671875,994.5480346679688,592.131103515625,1129.3624267578125,366.8644714355469,1492.3818359375,199.37171936035156
2023-12-11,803.5181274414062,1000.697265625,592.2274780273438,1114.6864013671875,367.98193359375,1505.1402587890625,202.38108825683594
2023-12-12,795.5364379882812,999.3198852539062,590.4437866210938,1129.162841796875,364.05078125,1480.5631103515625,203.2274932861328
2023-12-13,793.7357788085938,997.5488891601562,597.626708984375,1113.0390625,364.4199523925781,1490.3543701171875,207.8826446533203
2023-12-14,803.1044921875,1016.9804077148438,601.2904663085938,1118.6298828125,369.93756103515625,1534.6624755859375,206.9892120361328
2023-12-15,806.2192993164062,1020.6699829101562,625.0084228515625,1118.530029296875,369.28900146484375,1553.5528564453125,211.31520080566406
2023-12-18,805.8055419921875,1004.9771728515625,625.24951171875,1109.544677734375,368.5606689453125,1539.261474609375,210.93902587890625
2023-12-19,804.44287109375,999.0739135742188,631.902099609375,1118.4302978515625,368.4808349609375,1549.3494873046875,212.63182067871094
2023-12-20,806.438232421875,990.415771484375,613.6315307617188,1108.446533203125,364.4798278808594,1539.063720703125,206.23687744140625
2023-12-21,820.8927612304688,988.2020874023438,620.6697998046875,1093.62060546875,369.70806884765625,1552.7615966796875,211.45626831054688
2023-12-22,813.1788330078125,978.2649536132812,613.9207763671875,1086.5322265625,371.2645568847656,1545.195556640625,210.28073120117188
2023-12-26,818.824462890625,979.052001953125,615.1741333007812,1092.472412109375,376.522705078125,1553.5528564453125,211.92649841308594
2023-12-27,828.9718627929688,986.0867919921875,625.2977294921875,1104.5528564453125,379.6157531738281,1579.91015625,218.1803741455078
2023-12-28,829.9208374023438,989.6779174804688,628.0455322265625,1106.05029296875,383.4072265625,1592.8663330078125,219.0737762451172
2023-12-29,831.8676147460938,980.5278930664062,619.03076171875,1100.5093994140625,380.76318359375,1581.3936767578125,217.333984375
2024-01-01,826.4410400390625,983.28271484375,618.3558349609375,1095.916748046875,380.97271728515625,1581.2947998046875,219.82611083984375
2024-01-02,826.927734375,966.4092407226562,616.52392578125,1091.47412109375,372.17254638671875,1558.300048828125,216.9578094482422
2024-01-03,814.1765747070312,968.1802978515625,620.3805541992188,1096.8154296875,372.3421630859375,1583.569580078125,218.979736328125
2024-01-04,822.91259765625,971.2302856445312,619.7056274414062,1121.5751953125,371.8831787109375,1630.4490966796875,223.5878448486328
2024-01-05,818.7027587890625,977.6746215820312,618.934326171875,1135.10302734375,368.69036865234375,1625.1578369140625,220.67251586914062
2024-01-08,809.577392578125,966.1632690429688,604.5203247070312,1120.177490234375,364.4000244140625,1609.234619140625,210.13966369628906
2024-01-09,803.2747802734375,963.9495849609375,602.9777221679688,1114.736328125,364.509765625,1607.256591796875,209.90455627441406
2024-01-10,805.9271850585938,977.0350952148438,599.4585571289062,1105.2017822265625,363.3424072265625,1622.141357421875,210.51583862304688
2024-01-11,802.5447998046875,975.165771484375,597.9641723632812,1123.9212646484375,363.75146484375,1639.64697265625,212.5847930908203
2024-01-12,798.7485961914062,987.3165893554688,610.8836669921875,1118.530029296875,365.8268127441406,1655.61962890625,216.20545959472656
2024-01-15,814.1278686523438,993.5641479492188,617.150634765625,1117.6815185546875,369.4685974121094,1670.306640625,217.333984375
2024-01-16,817.2183837890625,992.777099609375,614.0654296875,1117.2821044921875,368.77020263671875,1648.7459716796875,217.4750518798828
2024-01-17,748.279296875,965.9173583984375,603.55615234375,1080.5419921875,355.1308898925781,1625.8502197265625,212.06756591796875
2024-01-18,723.2880249023438,970.443115234375,605.773681640625,1095.71728515625,354.6519775390625,1595.1905517578125,214.13650512695312
2024-01-19,715.744384765625,983.0859375,605.2434692382812,1114.736328125,352.0677490234375,1543.959228515625,216.91078186035156
