Date,TCS.NS,INFY.NS,WIPRO.NS,HCLTECH.NS,TECHM.NS,MPHASIS.NS
2015-04-15,1022.8550415039062,412.3451843261719,100.96443176269531,349.899169921875,470.62628173828125,289.98162841796875
2015-04-16,1005.3584594726562,408.796630859375,100.18220520019531,353.5110168457031,467.9160461425781,292.01336669921875
2015-04-17,963.3383178710938,405.9281311035156,97.66914367675781,348.2690734863281,457.2174987792969,291.2375793457031
2015-04-20,945.4137573242188,397.1548767089844,95.76351928710938,342.415771484375,450.976806640625,289.02117919921875
2015-04-21,944.7320556640625,399.1013488769531,96.22120666503906,329.9498596191406,454.685546875,292.4566650390625
2015-04-22,951.758544921875,398.1886901855469,90.6291732788086,325.0041809082031,449.1936950683594,288.6148681640625
2015-04-23,956.4877319335938,395.2641906738281,88.91495513916016,331.5614013671875,438.7804870605469,292.1611328125
2015-04-24,970.4227905273438,371.6452331542969,87.0759048461914,333.7755126953125,419.02398681640625,287.6543884277344
2015-04-27,973.2058715820312,369.6800537109375,88.84004974365234,328.65875244140625,418.84564208984375,286.17681884765625
2015-04-28,971.1817016601562,365.2561950683594,88.58208465576172,323.9327697753906,434.0731506347656,286.32452392578125
2015-04-29,968.1845703125,365.3027038574219,90.14653778076172,330.1472473144531,439.9930419921875,285.8813171386719
2015-04-30,958.998291015625,361.7822265625,89.638916015625,327.6726379394531,443.1669006347656,291.7917785644531
2015-05-04,965.9464721679688,371.25408935546875,90.06331634521484,342.27838134765625,436.31982421875,289.4275817871094
2015-05-05,980.076416015625,365.6007385253906,90.68744659423828,339.3572692871094,435.0359802246094,291.0898742675781
2015-05-06,958.7453002929688,358.01959228515625,88.59873962402344,331.6173095703125,434.28717041015625,285.5487976074219
2015-05-07,990.7416381835938,362.1081848144531,89.56402587890625,342.6319580078125,438.1029052734375,284.44061279296875
2015-05-08,983.7353515625,364.70660400390625,89.95512390136719,344.3996276855469,443.2025451660156,288.0238342285156
2015-05-11,994.9263916015625,371.3565368652344,90.12155151367188,350.5023498535156,450.2635192871094,286.32452392578125
2015-05-12,982.0419921875,362.6856689453125,88.84837341308594,340.7342224121094,439.4937744140625,285.1794128417969
2015-05-13,979.1226196289062,364.47381591796875,90.2463607788086,348.7906188964844,439.6007080078125,285.3641357421875
2015-05-14,972.8363647460938,360.3945617675781,89.2894058227539,344.3251037597656,438.9588317871094,284.14508056640625
2015-05-15,977.46875,365.4145202636719,89.61393737792969,340.0829162597656,441.0271301269531,281.6700744628906
2015-05-18,981.06884765625,371.2447509765625,90.57923889160156,346.2786865234375,436.926025390625,284.14508056640625
2015-05-19,978.0716552734375,376.7024841308594,91.96894836425781,347.6184387207031,441.6690673828125,276.53533935546875
2015-05-20,995.3351440429688,381.349853515625,93.8662338256836,357.2749938964844,457.039306640625,279.0842590332031
2015-05-21,994.7316284179688,381.5639953613281,93.90782928466797,361.0520935058594,467.594970703125,276.424560546875
2015-05-22,1019.0208740234375,381.1915283203125,93.28372192382812,366.2245788574219,475.7615661621094,273.21075439453125
2015-05-25,1012.4424438476562,375.66864013671875,93.71643829345703,371.806396484375,462.49542236328125,278.38238525390625
2015-05-26,1015.498291015625,373.8990478515625,92.90924072265625,369.70391845703125,456.64697265625,278.1976318359375
2015-05-27,1017.9893798828125,366.67181396484375,91.92731475830078,368.9596862792969,391.63580322265625,278.6779479980469
2015-05-28,1015.7510375976562,375.6313781738281,92.2934799194336,364.71746826171875,388.78289794921875,276.7570495605469
2015-05-29,1016.0626220703125,376.8514404296875,93.48342895507812,376.123046875,395.4159851074219,273.1737976074219
2015-06-01,1018.96240234375,381.4429626464844,93.79131317138672,362.1871032714844,392.7056884765625,273.0260314941406
2015-06-02,1012.0140991210938,374.1504821777344,91.33650207519531,354.5213317871094,391.8498229980469,270.1446533203125
2015-06-03,1016.29638671875,376.4323425292969,90.80390930175781,354.3724670410156,390.3876953125,273.3584899902344
